epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12376.4,0.05815,0.10382,0.89183,1,0.99713,0.995,0.99473,0.18388,0.46874,0.25249,0.0011684,0.0011684,0.0011684
44,12659.9,0.05747,0.09676,0.89206,1,0.99713,0.995,0.99472,0.13116,0.24287,0.16821,0.0011486,0.0011486,0.0011486
45,12944.2,0.05766,0.09768,0.89374,1,0.99713,0.995,0.99489,0.18185,0.55996,0.25115,0.0011288,0.0011288,0.0011288
46,13221.6,0.05588,0.09277,0.89814,1,0.99713,0.995,0.99462,0.13233,0.22387,0.18308,0.001109,0.001109,0.001109
47,13508.7,0.05419,0.09425,0.89157,0.99985,0.99713,0.995,0.99475,0.13765,0.53659,0.19083,0.0010892,0.0010892,0.0010892
48,13791.5,0.05643,0.09777,0.89149,0.99985,0.99713,0.995,0.99444,0.14583,0.50099,0.20612,0.0010694,0.0010694,0.0010694
49,14069.9,0.0569,0.09828,0.88689,1,0.99713,0.995,0.99472,0.13819,0.44955,0.197,0.0010496,0.0010496,0.0010496
50,14351.8,0.05339,0.09065,0.88996,0.99985,0.99713,0.995,0.99476,0.19254,0.36038,0.25588,0.0010298,0.0010298,0.0010298
51,14630.4,0.0501,0.08549,0.8862,0.99985,0.99713,0.995,0.99476,0.12146,0.25404,0.1696,0.00101,0.00101,0.00101
52,14907.4,0.04996,0.08596,0.89,0.99985,0.99713,0.995,0.99489,0.16451,0.48324,0.23196,0.0009902,0.0009902,0.0009902
53,15185.1,0.05082,0.08825,0.89278,0.99985,0.99713,0.995,0.99472,0.16988,0.52583,0.23381,0.0009704,0.0009704,0.0009704
54,15461.5,0.05168,0.08867,0.88892,1,0.99713,0.995,0.99471,0.18162,0.40759,0.23939,0.0009506,0.0009506,0.0009506
