video_timestamp,gold,minions,Q,W,E,R,frame_path
00:01:14.4,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2128
00:01:15.4,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2156
00:01:16.4,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2184
00:01:17.4,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2212
00:01:18.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2240
00:01:19.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2268
00:01:20.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2296
00:01:21.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2324
00:01:22.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2352
00:01:23.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2380
00:01:24.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2408
00:01:25.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2436
00:01:26.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2464
00:01:27.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2492
00:01:28.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2520
00:01:29.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2548
00:01:30.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2576
00:01:31.1,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2604
00:01:32.1,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2632
00:01:33.1,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2660
00:01:34.0,0001,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2688
00:01:35.0,0003,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2716
00:01:36.0,0005,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2744
00:01:37.0,0007,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2772
00:01:38.0,0008,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2800
00:01:38.9,0010,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2828
00:01:39.9,0012,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2856
00:01:40.9,0014,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2884
00:01:41.8,0015,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2912
00:01:42.8,0018,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2940
00:01:43.7,0020,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2968
00:01:44.7,0022,000,Ready,Ready,Ready,Ready,extracted_frames\frame_2996
00:01:45.7,0024,000,Ready,Ready,Ready,Ready,extracted_frames\frame_3024
00:01:46.7,0026,000,Ready,Ready,Ready,Ready,extracted_frames\frame_3052
00:01:47.6,0028,000,Ready,Ready,Ready,Ready,extracted_frames\frame_3080
00:01:48.6,0051,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3108
00:01:49.6,0053,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3136
00:01:50.6,0055,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3164
00:01:51.6,0057,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3192
00:01:52.5,0059,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3220
00:01:53.5,0061,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3248
00:01:54.5,0063,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3276
00:01:55.5,0065,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3304
00:01:56.5,0067,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3332
00:01:57.4,0069,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3360
00:01:58.4,0071,001,Ready,Ready,Ready,Ready,extracted_frames\frame_3388
00:01:59.4,0095,002,Ready,Ready,Ready,Ready,extracted_frames\frame_3416
00:02:00.4,0097,002,Ready,Ready,Ready,Ready,extracted_frames\frame_3444
00:02:01.3,0119,003,Ready,Ready,Ready,Ready,extracted_frames\frame_3472
00:02:02.3,0121,003,Ready,Ready,Ready,Ready,extracted_frames\frame_3500
00:02:03.3,0123,003,Ready,Ready,Ready,Ready,extracted_frames\frame_3528
00:02:04.3,0125,003,Ready,Ready,Ready,Ready,extracted_frames\frame_3556
00:02:05.4,0128,003,Ready,Ready,Ready,Ready,extracted_frames\frame_3584
