match_id,timestamp,player_champion,opponent_champion,total_cs,opponent_total_cs,cs_per_min,gold_diff,first_10_min_cs,opponent_first_10_min_cs,win,player_cs_timeline,opponent_cs_timeline
EUW1_7237436058,2024-12-21T23:08:34.254000,TahmKench,Jax,188,167,5.645645645645646,-737,66,71,True,"0,0,2,11,11,23,27,36,40,56,66,72,88,89,99","0,0,2,10,17,30,33,45,56,62,71,85,85,92,95"
EUW1_7237436058,2024-12-21T23:08:34.254000,Jax,TahmKench,167,188,5.015015015015015,737,71,66,False,"0,0,2,10,17,30,33,45,56,62,71,85,85,92,95","0,0,2,11,11,23,27,36,40,56,66,72,88,89,99"
EUW1_7237267047,2024-12-21T21:27:27.980000,Yorick,Jax,176,178,5.641025641025641,-4118,63,68,False,"0,0,3,5,15,23,24,35,46,51,63,71,71,81,88","0,0,3,13,18,21,36,45,51,65,68,78,83,88,90"
EUW1_7237267047,2024-12-21T21:27:27.980000,Jax,Yorick,178,176,5.705128205128205,4118,68,63,True,"0,0,3,13,18,21,36,45,51,65,68,78,83,88,90","0,0,3,5,15,23,24,35,46,51,63,71,71,81,88"
EUW1_7236163545,2024-12-21T00:01:43.221000,Illaoi,Jax,230,234,6.896551724137931,-600,49,54,True,"0,0,1,5,12,13,19,27,32,44,49,60,69,76,83","0,0,2,13,16,23,28,32,46,47,54,62,69,75,86"
EUW1_7236163545,2024-12-21T00:01:43.221000,Jax,Illaoi,234,230,7.016491754122939,600,54,49,False,"0,0,2,13,16,23,28,32,46,47,54,62,69,75,86","0,0,1,5,12,13,19,27,32,44,49,60,69,76,83"
EUW1_7235911731,2024-12-20T21:40:33.176000,Shen,Yone,111,203,3.8166189111747855,-2942,45,57,False,"0,0,2,7,20,22,28,29,36,39,45,53,64,67,73","0,0,5,8,11,22,29,33,39,48,57,66,66,82,87"
EUW1_7235911731,2024-12-20T21:40:33.176000,Yone,Shen,203,111,6.979942693409742,2942,57,45,True,"0,0,5,8,11,22,29,33,39,48,57,66,66,82,87","0,0,2,7,20,22,28,29,36,39,45,53,64,67,73"
EUW1_7235807148,2024-12-20T20:38:59.332000,Maokai,Katarina,243,233,8.131622978248746,420,64,74,False,"0,0,4,17,26,31,33,51,59,59,64,67,81,93,95","0,0,2,10,18,29,38,56,59,65,74,74,90,98,109"
EUW1_7235807148,2024-12-20T20:38:59.332000,Katarina,Maokai,233,243,7.796988287785834,-420,74,64,True,"0,0,2,10,18,29,38,56,59,65,74,74,90,98,109","0,0,4,17,26,31,33,51,59,59,64,67,81,93,95"
EUW1_7235752886,2024-12-20T19:58:43.502000,Warwick,Ryze,148,264,4.169014084507042,-2070,52,70,True,"0,0,2,12,21,29,32,32,34,44,52,66,67,74,80","0,0,2,12,16,23,33,38,43,62,70,80,89,101,112"
EUW1_7235752886,2024-12-20T19:58:43.502000,Ryze,Warwick,264,148,7.436619718309859,2070,70,52,False,"0,0,2,12,16,23,33,38,43,62,70,80,89,101,112","0,0,2,12,21,29,32,32,34,44,52,66,67,74,80"
EUW1_7235689598,2024-12-20T19:10:27.041000,Maokai,DrMundo,204,292,4.939467312348668,-5359,75,78,False,"0,0,3,14,18,34,38,43,59,66,75,80,89,92,102","0,0,1,8,24,24,36,49,58,71,79,88,100,105,115"
EUW1_7235689598,2024-12-20T19:10:27.041000,DrMundo,Maokai,292,204,7.070217917675545,5359,78,75,True,"0,0,1,8,24,24,36,49,58,71,79,88,100,105,115","0,0,3,14,18,34,38,43,59,66,75,80,89,92,102"
EUW1_7235190273,2024-12-20T11:57:24.825000,Gwen,Ambessa,216,165,6.139270487920418,3956,78,54,True,"0,0,4,14,24,28,42,48,58,68,78,90,97,105,110","0,0,2,11,16,21,23,31,38,46,54,64,71,71,75"
EUW1_7235190273,2024-12-20T11:57:24.825000,Ambessa,Gwen,165,216,4.689720511605874,-3956,54,78,False,"0,0,2,11,16,21,23,31,38,46,54,64,71,71,75","0,0,4,14,24,28,42,48,58,68,78,90,97,105,110"
EUW1_7234196114,2024-12-19T16:51:11.906000,Pantheon,Kled,219,232,6.381738708110733,-320,74,52,False,"0,0,3,14,16,33,38,49,51,60,74,87,98,110,110","0,0,3,4,13,18,28,32,37,46,52,60,73,80,91"
EUW1_7234196114,2024-12-19T16:51:11.906000,Kled,Pantheon,232,219,6.760563380281689,320,52,74,True,"0,0,3,4,13,18,28,32,37,46,52,60,73,80,91","0,0,3,14,16,33,38,49,51,60,74,87,98,110,110"
EUW1_7359056050,2025-04-06T01:45:04.319000,Garen,Jax,259,209,7.6326129666011795,938,54,67,True,"0,0,5,12,25,33,33,42,43,49,54,63,72,86,93","0,0,5,13,23,27,37,41,47,61,67,76,77,86,93"
EUW1_7359056050,2025-04-06T01:45:04.319000,Jax,Garen,209,259,6.159135559921415,-938,67,54,False,"0,0,5,13,23,27,37,41,47,61,67,76,77,86,93","0,0,5,12,25,33,33,42,43,49,54,63,72,86,93"
EUW1_7359006778,2025-04-06T00:49:15.688000,Yasuo,Yone,244,211,7.496159754224271,1068,78,67,True,"0,0,3,14,27,39,42,53,67,73,78,91,94,106,106","0,0,2,13,15,25,31,41,50,51,67,73,84,92,98"
EUW1_7359006778,2025-04-06T00:49:15.688000,Yone,Yasuo,211,244,6.482334869431644,-1068,67,78,False,"0,0,2,13,15,25,31,41,50,51,67,73,84,92,98","0,0,3,14,27,39,42,53,67,73,78,91,94,106,106"
EUW1_7357915180,2025-04-05T04:14:30.909000,Yone,Garen,229,170,9.283783783783784,10326,83,51,True,"0,0,2,8,15,26,36,46,56,72,83,96,108,122,136","0,0,0,6,12,13,20,31,39,44,51,63,63,76,81"
EUW1_7357915180,2025-04-05T04:14:30.909000,Garen,Yone,170,229,6.891891891891891,-10326,51,83,False,"0,0,0,6,12,13,20,31,39,44,51,63,63,76,81","0,0,2,8,15,26,36,46,56,72,83,96,108,122,136"
EUW1_7357906711,2025-04-05T03:33:14.968000,Gangplank,Mordekaiser,218,168,6.349514563106796,914,48,48,False,"0,0,2,7,20,20,22,31,38,47,48,62,71,71,79","0,0,4,14,15,18,20,30,38,43,48,57,67,67,79"
EUW1_7357906711,2025-04-05T03:33:14.968000,Mordekaiser,Gangplank,168,218,4.893203883495145,-914,48,48,True,"0,0,4,14,15,18,20,30,38,43,48,57,67,67,79","0,0,2,7,20,20,22,31,38,47,48,62,71,71,79"
EUW1_7357882200,2025-04-05T02:53:24.976000,Vladimir,Darius,243,170,7.747077577045696,5112,71,44,True,"0,0,4,13,22,25,35,45,51,63,71,81,84,99,111","0,0,1,11,14,19,28,29,34,38,44,48,54,59,67"
EUW1_7357882200,2025-04-05T02:53:24.976000,Darius,Vladimir,170,243,5.419766206163656,-5112,44,71,False,"0,0,1,11,14,19,28,29,34,38,44,48,54,59,67","0,0,4,13,22,25,35,45,51,63,71,81,84,99,111"
EUW1_7357858719,2025-04-05T02:01:08.434000,Gwen,Malphite,188,218,4.659231722428748,999,54,62,False,"0,0,3,10,17,23,33,34,42,46,54,64,72,82,91","0,0,1,6,13,24,34,39,41,50,62,69,73,83,94"
EUW1_7357858719,2025-04-05T02:01:08.434000,Malphite,Gwen,218,188,5.40272614622057,-999,62,54,True,"0,0,1,6,13,24,34,39,41,50,62,69,73,83,94","0,0,3,10,17,23,33,34,42,46,54,64,72,82,91"
EUW1_7357828069,2025-04-05T01:26:28.801000,Ornn,Gwen,221,133,8.139963167587478,5242,68,44,True,"0,0,3,12,14,22,25,38,48,59,68,80,90,102,108","0,0,4,13,16,25,30,34,38,39,44,48,55,63,71"
